id,score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Nt8FJ,+1,12087620705283,4.797982,1,4.990433,6.492240,80.000000,0.000000,0.000000,0,0,3.850148,0,1,0,0,1,1,0,0,14,4.653960,0.000000,0.000000
VCaTF,+1,282114466020,3.151926,1,3.737670,3.891820,83.000000,0.000000,0.000000,1,0,2.564949,0,1,0,0,1,0,0,0,2,2.890372,0.000000,0.000000
gParY,+1,173284955,1.785813,1,1.791759,1.945910,0.000000,0.000000,0.000000,0,0,4.262680,2,1,0,0,1,0,0,0,6,3.637586,0.000000,0.000000
DtWDw,+1,4708728355523,2.394989,1,3.091042,2.890372,0.000000,0.000000,0.000000,0,0,4.804021,8,1,0,0,1,1,0,0,5,2.772589,0.000000,0.000000
4hUov,+1,1459162488,2.002920,1,4.836282,4.158883,0.000000,0.000000,0.000000,0,0,4.521789,10,1,0,0,1,0,0,0,7,2.397895,0.000000,0.000000
4VnZH,-1,747590455,1.380899,1,3.091042,2.397895,0.000000,0.000000,0.000000,0,0,2.708050,0,0,0,0,0,0,0,0,2,1.791759,0.000000,0.000000
madOS,+1,42438676159,0.000000,1,4.488636,3.912023,65.000000,0.000000,0.000000,0,0,4.394449,4,1,0,0,0,1,0,0,0,1.945910,0.000000,0.000000
6DvWu,-1,14994168760886,1.816477,1,0.693147,1.386294,0.000000,0.000000,0.000000,0,0,3.218876,1,1,0,0,0,0,1,0,3,2.484907,0.000000,0.000000
bvQwT,+1,6888628852259,3.009992,1,4.744932,6.274762,0.000000,0.000000,0.000000,0,0,5.327876,12,1,0,0,0,1,1,0,1,2.079442,0.000000,0.000000
Yyon1,+1,5543511301254,1.714707,1,3.135494,3.295837,0.000000,0.000000,0.000000,0,0,3.555348,1,1,0,0,1,0,0,0,3,2.772589,0.000000,0.000000
67JDj,+1,746701980,2.591300,1,2.772589,6.259581,0.000000,0.000000,0.000000,0,0,5.283204,12,0,0,0,1,1,0,0,5,3.988984,0.000000,0.000000
AlzGR,+1,6961101378430,1.821645,1,4.672829,5.669881,0.000000,0.000000,0.000000,0,0,3.761200,3,1,0,0,0,0,1,0,2,1.609438,0.000000,0.000000
slQXh,+1,634300857,1.798752,1,4.663439,4.934474,81.428571,0.000000,0.000000,0,0,2.397895,0,1,0,0,1,0,1,0,2,1.791759,0.000000,0.000000
H8Mp6,-1,1193643930,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,3.091042,0,1,0,1,0,0,1,0,1,1.386294,0.000000,0.000000
LVIdc,-1,1143394593947,0.000000,1,6.265301,7.186144,70.000000,0.000000,1.711339,0,0,1.098612,0,0,0,0,1,0,0,0,8,3.465736,0.000000,0.000000
RiH8z,+1,1165699134125,3.319049,1,4.219508,4.094345,92.857143,0.000000,0.000000,0,0,2.890372,0,1,0,0,0,0,0,0,15,5.062595,0.000000,0.000000
kQOe4,-1,29846045584236,0.000000,1,4.219508,4.624973,66.000000,0.000000,1.190382,1,1,2.302585,0,1,0,1,0,0,1,0,1,2.079442,0.000000,0.000000
x912c,-1,1965531399827,0.000000,1,4.189655,3.526361,0.000000,0.000000,0.000000,0,0,3.871201,6,1,0,0,1,0,1,0,4,3.044522,0.000000,0.000000
tmppP,-1,794866883218,0.000000,1,3.637586,4.174387,75.000000,0.000000,0.000000,0,0,3.218876,0,1,0,0,1,1,0,0,47,5.874931,0.000000,0.000000
ymv87,-1,4616624265449,4.011195,1,3.951244,4.158883,0.000000,0.000000,0.000000,0,0,4.762174,0,1,0,0,1,1,0,0,2,2.079442,0.000000,0.000000
QFIPm,+1,1600707566246,1.960632,1,4.304065,4.262680,0.000000,0.000000,0.000000,0,0,3.178054,0,1,0,1,0,1,3,0,27,3.713572,0.000000,0.000000
aTGEA,+1,1581262079607,2.702326,1,5.117994,5.068904,73.000000,0.000000,0.000000,0,0,5.123964,5,1,0,0,1,1,0,0,3,2.772589,0.000000,0.000000
W94Mt,-1,8400363511,3.055082,1,4.418841,4.867534,0.000000,0.000000,0.000000,0,0,2.484907,1,1,0,1,0,0,0,0,1,2.197225,0.000000,0.000000
uFu7U,+1,4535849186693,0.000000,1,3.526361,3.044522,0.000000,0.000000,0.000000,0,0,3.465736,2,1,0,0,1,0,0,0,3,1.945910,0.000000,0.000000
